pixel_x,time_seconds,magnitude,magnitude_smooth
326,0.6416339668728028,-1.5709393932137639,-1.2249227748377667
327,1.3543912554892188,-1.6920452096453626,-1.2941260985129661
328,2.0671485441056348,-1.2249227748377667,-1.2941260985129661
329,2.7799058327220507,-1.1903211130001674,-1.2941260985129661
330,3.4926631213384383,-1.2941260985129661,-1.2249227748377667
331,4.205420409954854,-0.33392998251957495,-1.2249227748377667
332,4.91817769857127,-1.3719798376475656,-1.1903211130001674
333,5.630934987187658,-0.5415399535451733,-0.7404995091113715
334,6.343692275804074,-1.6401427168889633,-0.7404995091113715
335,7.05644956442049,-0.7404995091113715,-0.7404995091113715
336,7.769206853036906,-0.7404995091113715,-0.7404995091113715
337,8.481964141653293,-0.653995354517372,-1.1989715284595672
338,9.19472143026971,-1.1989715284595672,-1.1989715284595672
339,9.907478718886125,-1.4844352386197643,-1.1989715284595672
340,10.620236007502513,-1.3114269294317662,-1.1989715284595672
341,11.332993296118929,-1.2941260985129661,-1.1989715284595672
342,12.045750584735345,-0.8356540791647702,-0.956759895596369
343,12.75850787335176,0.0985907904504213,-0.956759895596369
344,13.471265161968148,-0.956759895596369,-0.9308086492181697
345,14.184022450584564,-0.956759895596369,-0.9221582337587697
346,14.89677973920098,-0.9308086492181697,-0.9308086492181697
347,15.609537027817368,-0.809702832786571,-0.9308086492181697
348,16.322294316433783,-0.9221582337587697,-0.9308086492181697
349,17.0350516050502,-0.9308086492181697,-0.9308086492181697
350,17.747808893666587,-1.0519144656497685,-1.0519144656497685
351,18.460566182283003,-1.7871997796987618,-1.6055410550513636
352,19.17332347089942,-1.7871997796987618,-1.6314923014295633
353,19.886080759515835,-1.769898948779962,-1.6833947941859628
354,20.598838048132222,-1.6055410550513636,-1.769898948779962
355,21.31159533674864,-1.6314923014295633,-1.7006956251047627
356,22.024352625365054,-1.6833947941859628,-1.6833947941859628
357,22.737109913981442,-1.8650535188333612,-1.6401427168889633
358,23.449867202597858,-1.7006956251047627,-1.6401427168889633
359,24.162624491214274,-1.6401427168889633,-1.6401427168889633
360,24.87538177983066,-0.9827111419745691,-1.5363377313761641
361,25.588139068447106,-1.0173128038121684,-1.5363377313761641
362,26.300896357063493,-1.3373781758099659,-1.5363377313761641
363,27.01365364567988,-1.5363377313761641,-1.5363377313761641
364,27.726410934296325,-1.674744378726563,-1.674744378726563
365,28.439168222912713,-2.124565982615359,-1.9602080888867603
366,29.1519255115291,-2.03806182802136,-1.9602080888867603
367,29.864682800145545,-1.9775089198055602,-1.9602080888867603
368,30.577440088761932,-1.9602080888867603,-1.9602080888867603
369,31.29019737737832,-1.6401427168889633,-1.9602080888867603
370,32.002954665994764,-1.4584839922415649,-1.9602080888867603
371,32.71571195461115,-1.5017360695385644,-1.7266468714829624
372,33.428469243227596,-2.314875122722157,-1.6401427168889633
373,34.141226531843984,-2.2629726299657578,-1.5017360695385644
374,34.85398382046037,-1.7266468714829624,-1.5017360695385644
375,35.566741109076816,-1.2508740212159666,-1.2508740212159666
376,36.2794983976932,-0.8962069873805696,-0.8962069873805696
377,36.99225568630959,-0.6366945235985719,-0.8962069873805696
378,37.705012974926035,-0.8443044946241702,-0.8962069873805696
379,38.41777026354242,-0.8443044946241702,-0.8789061564617704
380,39.13052755215881,-1.0259632192715684,-0.8443044946241702
381,39.843284840775254,-0.9135078182993697,-0.8789061564617704
382,40.55604212939164,-0.8789061564617704,-0.9135078182993697
383,41.26879941800803,-0.48098704532937386,-1.0259632192715684
384,41.981556706624474,-1.4238823304039652,-0.9135078182993697
385,42.69431399524086,-1.441183161322765,-1.4152319149445654
386,43.40707128385725,-1.4152319149445654,-1.4238823304039652
387,44.11982857247369,1.5086085103326088,-1.441183161322765
388,44.83258586109008,-1.769898948779962,-1.441183161322765
389,45.545343149706525,-1.769898948779962,-1.4152319149445654
390,46.25810043832291,-1.769898948779962,1.5086085103326088
391,46.9708577269393,1.5086085103326088,1.5086085103326088
392,47.683615015555745,1.5086085103326088,1.5086085103326088
393,48.39637230417213,1.5086085103326088,1.5086085103326088
394,49.10912959278852,1.5086085103326088,1.5086085103326088
395,49.821886881404964,1.5086085103326088,1.5086085103326088
396,50.53464417002135,1.5086085103326088,1.5086085103326088
397,51.24740145863774,1.5086085103326088,1.5086085103326088
398,51.960158747254184,1.5086085103326088,1.5086085103326088
399,52.67291603587057,0.747371949905415,1.5086085103326088
400,53.38567332448696,0.756022365364815,1.5086085103326088
401,54.0984306131034,1.127990230119012,1.5086085103326088
402,54.81118790171979,1.5086085103326088,1.5086085103326088
403,55.52394519033618,1.5086085103326088,1.5086085103326088
404,56.23670247895262,1.5086085103326088,1.5086085103326088
405,56.94945976756901,1.5086085103326088,1.5086085103326088
406,57.662217056185455,1.5086085103326088,1.5086085103326088
407,58.37497434480184,1.5086085103326088,1.5086085103326088
408,59.08773163341823,1.5086085103326088,1.5086085103326088
409,59.800488922034674,1.5086085103326088,1.5086085103326088
410,60.51324621065106,-0.5847920308421726,0.2888999305572195
411,61.22600349926745,-0.5761416153827725,0.26294868417901984
412,61.93876078788389,0.26294868417901984,0.26294868417901984
413,62.65151807650028,0.2888999305572195,-0.1176695960345766
414,63.36427536511667,0.26294868417901984,-0.1176695960345766
415,64.07703265373311,-0.1176695960345766,-0.1176695960345766
416,64.7897899423495,-1.6920452096453624,-1.4065814994851653
417,65.50254723096589,-1.5882402241325635,-1.4065814994851653
418,66.21530451958233,-1.5882402241325635,-1.4065814994851653
419,66.92806180819872,-1.4065814994851653,-1.4065814994851653
420,67.64081909681511,-1.2681748521347664,-1.2768252675941665
421,68.35357638543155,-1.2768252675941665,-1.2681748521347664
422,69.06633367404794,-1.2335731902971667,-1.2681748521347664
423,69.77909096266438,-0.88755657192117,-1.2681748521347664
424,70.49184825128077,-0.88755657192117,-1.2768252675941665
425,71.20460553989716,-1.648793132348363,-1.4152319149445651
426,71.9173628285136,-1.657443547807763,-1.5795898086731637
427,72.63012011712999,-1.4152319149445651,-1.5795898086731637
428,73.34287740574638,-1.8477526879145612,-1.5795898086731637
429,74.05563469436282,-1.5795898086731637,-1.5795898086731637
430,74.76839198297921,-1.5536385622949638,-1.5795898086731637
431,75.4811492715956,-1.4844352386197643,-1.5968906395919635
432,76.19390656021204,-1.6228418859701632,-1.5968906395919635
433,76.90666384882843,-1.6228418859701632,-1.6228418859701632
434,77.61942113744482,-1.5968906395919635,-1.6228418859701632
435,78.33217842606126,-1.9515576734273603,-1.9515576734273603
436,79.04493571467765,-2.01211058164316,-1.9515576734273603
437,79.75769300329404,-2.1937693062905583,-1.9688585043461604
438,80.47045029191048,-2.0207609971025597,-2.01211058164316
439,81.18320758052687,-1.9429072579679605,-2.0207609971025597
440,81.89596486914331,-1.9688585043461604,-2.0467122434807594
441,82.6087221577597,-2.0467122434807594,-2.0207609971025597
442,83.32147944637609,-2.1591676444529586,-1.9688585043461604
443,84.03423673499253,-2.2370213835875576,-1.9688585043461604
444,84.74699402360892,-1.4584839922415649,-1.7785493642393617
445,85.45975131222531,-1.4757848231603645,-1.648793132348363
446,86.17250860084175,-1.7785493642393617,-1.648793132348363
447,86.88526588945814,-1.648793132348363,-1.648793132348363
448,87.59802317807453,-0.8962069873805696,-1.648793132348363
449,88.31078046669097,-2.0640130743995595,-1.648793132348363
450,89.02353775530736,-2.660891741098154,-1.648793132348363
451,89.73629504392375,0.16779411412562073,-2.0553626589401595
452,90.44905233254019,-0.6193936926797727,-2.0553626589401595
453,91.16180962115658,-2.3667776154785565,-1.5363377313761641
454,91.87456690977297,-2.0553626589401595,-1.2249227748377667
455,92.58732419838941,-1.5363377313761641,-1.2249227748377667
456,93.3000814870058,-1.2249227748377667,-1.2249227748377667
457,94.01283877562224,-1.0778657120279684,-1.2249227748377667
458,94.72559606423863,-1.103816958406168,-1.2249227748377667
459,95.43835335285502,-1.0778657120279684,-1.2249227748377667
460,96.15111064147146,-1.4844352386197643,-1.432532745863365
